Tarih,Aşama,Kanal,Özet,Telegram’a Gönderildi mi?,Prompt Tokens,Completion Tokens,Toplam Tokens
2025-06-01 09:16,Translate & Filter,conflict_tr,"🔴 Edirne Emniyet Müdürlüğü ekipleri, otomobilin bagajında neoklasik döneme ait olduğu belirtilen kad",Hayır,156,2,158
2025-06-01 09:16,Translate & Filter,ww3media,"🔴İrlandalı MMA dövüşçüsü, İsrailli rakibini döverken “Özgür Filistin” diye bağırdı.",Hayır,142,2,144
2025-06-01 09:16,Translate & Filter,ateobreaking,"Машинист локомотива погиб в ЧП с поездом в Брянской области, 9 работников поездной бригады госпитали",Hayır,156,2,158
2025-06-01 09:21,Translate & Filter,conflict_tr,"🔴 Edirne Emniyet Müdürlüğü ekipleri, otomobilin bagajında neoklasik döneme ait olduğu belirtilen kad",Hayır,156,2,158
2025-06-01 09:21,Translate & Filter,ateobreaking,"Машинист локомотива погиб в ЧП с поездом в Брянской области, 9 работников поездной бригады госпитали",Hayır,156,2,158
2025-06-01 09:26,Final,conflict_tr,"🔴 Türkiye, Ay'a iki keşif aracı gönderen ilk ülke olmayı hedefliyor

▪️ODTÜ öncülüğünde Çin ile yapı",Evet,207,54,261
2025-06-01 09:26,Final,ww3media,"🔴İngiltere Savunma Bakanı: 

Putin’in Ukrayna’yı işgali, ordunun gerçek gücünün güçlü bir savunma sa",Evet,155,39,194
2025-06-01 09:27,Translate & Filter,ateobreaking,"На участке Унеча - Жеча в Брянской области обнаружено повреждение пути, пострадавших нет, сообщила М",Hayır,162,2,164
2025-06-01 09:27,Translate & Filter,ateobreaking,"Машинист локомотива погиб в ЧП с поездом в Брянской области, 9 работников поездной бригады госпитали",Hayır,156,2,158
2025-06-01 09:31,Final,conflict_tr,"🔴 Türkiye, Ay'a iki keşif aracı gönderen ilk ülke olmayı hedefliyor

▪️ODTÜ öncülüğünde Çin ile yapı",Evet,207,53,260
2025-06-01 09:31,Translate & Filter,conflict_tr,"🔴 Çin savaş robotu köpek CRD30, geleneksel ekipmanların başarısız olduğu ve insanların dayanamadığı ",Hayır,146,2,148
2025-06-01 09:31,Final,conflict_tr,"🚨 MİT, Pakistan'da yakalanan, DEAŞ'in üst düzey yöneticilerinden Özgür Altun'u Türkiye'ye getirdi.",Evet,144,37,181
2025-06-01 09:32,Final,conflict_tr,"🚨 İsrail güçleri Gazze'nin merkezinde gıda yardımlarını almaya çalışan halka ateş açtı

▪️Yerel kayn",Evet,155,39,194
2025-06-01 09:32,Final,ww3media,"🔴İngiltere Savunma Bakanı: 

Putin’in Ukrayna’yı işgali, ordunun gerçek gücünün güçlü bir savunma sa",Evet,155,33,188
2025-06-01 09:33,Final,ww3media,🔴Rusya’da Putin’in ikametgahına yakın bir noktada büyük bir yandın çıktı.,Evet,131,21,152
2025-06-01 09:33,Final,ww3media,"🚨MİT ve Pakistan istihbaratının ortak operasyonunda, DEAŞ’ın sözde yöneticilerinden ve turuncu kateg",Evet,160,58,218
2025-06-01 09:34,Final,ateobreaking,"Путин обсудил по телефону с Пашиняном актуальные вопросы двусторонней и региональной повестки дня, с",Evet,161,50,211
