Tarih,Aşama,Kanal,Özet,Önem Derecesi,Telegram’a Gönderildi mi?,Prompt Tokens,Completion Tokens,Toplam Tokens
2025-05-31 12:04,Geo Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan, Macaristan Başbakanı Orban ile bir telefon görüşmesi gerçekleştirdi.",-,Hayır,61,1,62
2025-05-31 12:04,Translation,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan, Macaristan Başbakanı Orban ile bir telefon görüşmesi gerçekleştirdi.",Az Önemli,Evet,97,23,120
2025-05-31 12:04,Final,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan, Macaristan Başbakanı Orban ile bir telefon görüşmesi gerçekleştirdi.",Az Önemli,Evet,-,-,-
2025-05-31 12:05,Geo Filter,conflict_tr,"🔴 Fransa Cumhurbaşkanı Macron: 

▪️Çin, Kuzey Kore'nin Ukrayna'daki savaşa müdahale etmesini engelle",-,Hayır,91,1,92
2025-05-31 12:05,Translation,conflict_tr,"🔴 Fransa Cumhurbaşkanı Macron: 

▪️Çin, Kuzey Kore'nin Ukrayna'daki savaşa müdahale etmesini engelle",Önemli,Evet,127,37,164
2025-05-31 12:05,Final,conflict_tr,"🔴 Fransa Cumhurbaşkanı Macron: 

▪️Çin, Kuzey Kore'nin Ukrayna'daki savaşa müdahale etmesini engelle",Önemli,Evet,-,-,-
2025-05-31 12:07,Geo Filter,conflict_tr,"🔴 Çin, ABD tarifelerinin ekonomiye olan etkisi nedeniyle 70 milyar dolarlık yeni bir paket hazırlıyo",-,Hayır,65,1,66
2025-05-31 12:07,Geo Filter,conflict_tr,"🔴 Politico: 

""Husiler, İsrail'e yönelik saldırılarını asla durdurmayacak.""",-,Hayır,62,1,63
2025-05-31 12:07,Translation,conflict_tr,"🔴 Politico: 

""Husiler, İsrail'e yönelik saldırılarını asla durdurmayacak.""",Önemli,Evet,98,25,123
2025-05-31 12:07,Final,conflict_tr,"🔴 Politico: 

""Husiler, İsrail'e yönelik saldırılarını asla durdurmayacak.""",Önemli,Evet,-,-,-
2025-05-31 12:13,Geo Filter,conflict_tr,"🔴 Çin, ABD tarifelerinin ekonomiye olan etkisi nedeniyle 70 milyar dolarlık yeni bir paket hazırlıyo",-,Hayır,65,1,66
2025-05-31 12:13,Geo Filter,ww3media,"🔴Hindistan Genelkurmay Başkanı Anil Chauhan, “Sindoor Operasyonu” hakkında:

▪️Pakistan hava savunma",-,Hayır,112,1,113
2025-05-31 12:13,Translation,ww3media,"🔴Hindistan Genelkurmay Başkanı Anil Chauhan, “Sindoor Operasyonu” hakkında:

▪️Pakistan hava savunma",Çok Önemli,Evet,148,53,201
2025-05-31 12:13,Final,ww3media,"🔴Hindistan Genelkurmay Başkanı Anil Chauhan, “Sindoor Operasyonu” hakkında:

▪️Pakistan hava savunma",Çok Önemli,Evet,-,-,-
2025-05-31 12:14,Geo Filter,conflict_tr,"🔴 Çin, ABD tarifelerinin ekonomiye olan etkisi nedeniyle 70 milyar dolarlık yeni bir paket hazırlıyo",-,Hayır,65,1,66
2025-05-31 12:14,Geo Filter,ww3media,🔴Tutuklandı.,-,Hayır,44,1,45
2025-05-31 12:14,Geo Filter,ateobreaking,Рубль вошёл в топ-3 наиболее укрепившихся к доллару валют в мае,-,Hayır,57,1,58
2025-05-31 12:14,Geo Filter,ateobreaking,"Песков о Макроне: «сожалеем, что глава Франции не понимает реального положения дел, считает возможны",-,Hayır,72,1,73
2025-05-31 12:15,Translation,ateobreaking,"Песков о Макроне: «сожалеем, что глава Франции не понимает реального положения дел, считает возможны",Orta,Evet,108,34,142
2025-05-31 12:15,Final,ateobreaking,"Песков о Макроне: «сожалеем, что глава Франции не понимает реального положения дел, считает возможны",Orta,Evet,-,-,-
2025-05-31 12:24,Geo Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: (Osman Gazi Gemisi)

▪️300 metre uzunluğunda ve 56 metre genişliğindeki bu ",-,Hayır,123,1,124
2025-05-31 12:24,Geo Filter,conflict_tr,🔴 Marmaray'da çocukları yanında olan babanın burnunu kıran şahıs tutuklandı.,-,Hayır,60,1,61
2025-05-31 12:24,Geo Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

▪️Önümüzdeki dönemde önce terörsüz Türkiye'ye, ardından da terörsüz bölge",-,Hayır,95,1,96
2025-05-31 12:24,Translation,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

▪️Önümüzdeki dönemde önce terörsüz Türkiye'ye, ardından da terörsüz bölge",Önemli,Evet,131,41,172
2025-05-31 12:24,Final,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

▪️Önümüzdeki dönemde önce terörsüz Türkiye'ye, ardından da terörsüz bölge",Önemli,Evet,-,-,-
2025-05-31 12:25,Geo Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: (Osman Gazi Gemisi)

▪️300 metre uzunluğunda ve 56 metre genişliğindeki bu ",-,Hayır,123,1,124
2025-05-31 12:25,Geo Filter,conflict_tr,🔴 Marmaray'da çocukları yanında olan babanın burnunu kıran şahıs tutuklandı.,-,Hayır,60,1,61
2025-05-31 12:25,Geo Filter,conflict_tr,"🔴 İsrail askerleri, Batı Şeria'da hac için Mekke'ye giden Filistinlileri taşıyan bir minibüse çarptı",-,Hayır,73,1,74
2025-05-31 12:25,Translation,conflict_tr,"🔴 İsrail askerleri, Batı Şeria'da hac için Mekke'ye giden Filistinlileri taşıyan bir minibüse çarptı",Orta,Evet,109,35,144
2025-05-31 12:26,Final,conflict_tr,"🔴 İsrail askerleri, Batı Şeria'da hac için Mekke'ye giden Filistinlileri taşıyan bir minibüse çarptı",Orta,Evet,-,-,-
2025-05-31 12:27,Geo Filter,ww3media,🔴Tutuklandı.,-,Hayır,44,1,45
2025-05-31 12:27,Geo Filter,ateobreaking,Рубль вошёл в топ-3 наиболее укрепившихся к доллару валют в мае,-,Hayır,57,1,58
2025-05-31 12:27,Geo Filter,ateobreaking,"Правительство РФ внесло в Госдуму законопроект об освобождении иностранных граждан, приезжающих в РФ",-,Hayır,86,1,87
2025-05-31 12:27,Translation,ateobreaking,"Правительство РФ внесло в Госдуму законопроект об освобождении иностранных граждан, приезжающих в РФ",Az Önemli,Evet,122,41,163
2025-05-31 12:27,Final,ateobreaking,"Правительство РФ внесло в Госдуму законопроект об освобождении иностранных граждан, приезжающих в РФ",Az Önemli,Evet,-,-,-
2025-05-31 12:27,Geo Filter,ateobreaking,"**❗️****Правящая партия Турции может выдвинуть Эрдогана на третий срок, — издание Türkiye
**
Издание",-,Hayır,122,1,123
2025-05-31 12:27,Translation,ateobreaking,"**❗️****Правящая партия Турции может выдвинуть Эрдогана на третий срок, — издание Türkiye
**
Издание",Önemli,Evet,158,51,209
